Code,Description,Active
"2451",Mobile Homes,true
"2452",Prefabricated Wood Buildings,true
"2491",Wood Preserving,true
"2492",Particleboard(1977),false
"2493",Reconstituted Wood Products,true
"2499",Wood Products,true
"2511",Wood Household Furniture,true
"2512",Upholstered Household Furniture,true
"2514",Metal Household Furniture,true
"2515",Mattresses And Bedsprings,true
"2517",Wood Tv And Radio Cabinets,true
"2519",Household Furniture,true
"2521",Wood Office Furniture,true
"2522","Office Furniture, Except Wood",true
"2531",Public Building & Related Furniture,true
"2541",Wood Partitions And Fixtures,true
"2542","Partitions And Fixtures, Except Wood",true
"2591",Drapery Hardware & Blinds & Shades,true
"2599",Furniture And Fixtures,true
"2611",Pulp Mills,true
"2621",Paper Mills,true
"2631",Paperboard Mills,true
"2641",Legacy Docket Conv,false
"2642",Legacy Docket Conv,false
"2643",Legacy Docket Conv,false
"2645",Legacy Docket Conv,false
"2647",Legacy Docket Conv,false
"2649",Legacy Docket Conv,false
"2652",Setup Paperboard Boxes,true
"2653",Corrugated And Solid Fiber Boxes,true
"2654",Legacy Docket Conv,false
"2655","Fiber Cans, Drums & Similar Products",true
"2656",Sanitary Food Containers,true
"2657",Folding Paperboard Boxes,true
"2661",Legacy Docket Conv,false
"2671","Paper Coated & Laminated, Packaging",true
"2672",Paper Coated And Laminated,true
"2673","Bags: Plastics, Laminated, & Coated",true
"2674",Bags: Uncoated Paper & Multiwall,true
"2675",Die-Cut Paper And Board,true
"2676",Sanitary Paper Products,true
"2677",Envelopes,true
"2678",Stationery Products,true
"2679",Converted Paper Products,true
"2711",Newspapers,true
"2721",Periodicals,true
"2731",Book Publishing,true
"2732",Book Printing,true
"2741",Miscellaneous Publishing,true
"2751",Legacy Docket Conv,false
"2752","Commercial Printing, Lithographic",true
"2753",Legacy Docket Conv,false
"2754","Commercial Printing, Gravure",true
"2759",Commercial Printing,true
"2761",Manifold Business Forms,true
"2771",Greeting Cards,true
"2782",Blankbooks And Looseleaf Binders,true
"2789",Bookbinding And Related Work,true
"2791",Typesetting,true
"2793",Legacy Docket Conv,false
"2795",Legacy Docket Conv,false
"2796",Platemaking Services,true
"2812",Alkalies And Chlorine,true
"2813",Industrial Gases,true
"2816",Inorganic Pigments,true
"2819",Industrial Inorganic Chemicals,true
"2821",Plastics Materials And Resins,true
"2822",Synthetic Rubber,true
"2823",Cellulosic Manmade Fibers,true
"2824","Organic Fibers, Noncellulosic",true
"2831",Biological Products(1977),false
